rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_class_weight
1,0.8491073299800752,0.0033526623838894625,0.9030974418581384,0.0013503132107019675,1.2153716087341309,100,,5,2,balanced_subsample
2,0.8468942222713031,0.0037871846485929435,0.8880344278612564,0.0019690907424516073,2.087626298268636,200,,10,2,balanced_subsample
3,0.8389921404574405,0.0028631423272346616,0.8699388941343446,0.001524697412652627,1.0091630617777507,100,,10,4,balanced_subsample
4,0.8309928732107087,0.004616903150237362,0.8587354172530258,0.0024817904068238318,1.018532673517863,100,16,10,2,balanced_subsample
5,0.8307102711620619,0.003431438408,0.8543609972305258,0.0013632381559128303,2.937883456548055,300,16,2,4,balanced_subsample
6,0.830083194699677,0.004294857595963882,0.8529295469999455,0.0010600571295562547,1.269598404566447,200,16,2,4,balanced
7,0.821552006069865,0.003998995007526048,0.8428027943037243,0.0008794967326985587,1.9041326840718586,200,12,5,1,balanced_subsample
8,0.8205890524267998,0.0033712470874032287,0.841482517841664,0.0006831601934967663,1.1015349229176838,100,12,5,1,balanced_subsample
9,0.8197143132021315,0.005209712918814068,0.8403117609623157,0.002258036680626162,0.595796267191569,100,12,5,1,balanced
10,0.8167449214359772,0.005585801284272219,0.8319858795750482,0.0026217266124917383,0.98601762453715,100,12,10,4,balanced_subsample
11,0.7932468139871175,0.002869354344330026,0.7984039401139725,0.0010245126195207999,0.8874522050221761,100,8,5,1,balanced_subsample
12,0.7899915006365381,0.003720018686033704,0.7955318985659684,0.002760849377512769,0.48351438840230304,100,8,10,2,balanced
